gene,module,n
AQP7P1,blue,703
MOXD1,turquoise,1278
DAO,blue,703
HABP2,grey,1238
CA4,grey,1238
LHX3,blue,703
HULC,blue,703
CTTNBP2,turquoise,1278
KRT6A,grey,1238
KCNB1,blue,703
SVEP1,turquoise,1278
SLC7A11,grey,1238
WNT7B,turquoise,1278
TNNT1,yellow,513
FAM169B,turquoise,1278
TRIM54,grey,1238
OGDHL,blue,703
SALL4,yellow,513
CFHR2,blue,703
GLYATL1,blue,703
CYP2D6,blue,703
KCNJ3,green,313
C9orf152,black,147
GSTT2,grey,1238
UGT3A2,grey,1238
VEPH1,turquoise,1278
CHRDL1,turquoise,1278
SAMD11,turquoise,1278
VSNL1,blue,703
CD79A,brown,642
PODN,turquoise,1278
EREG,turquoise,1278
NTM,turquoise,1278
MYEF2,yellow,513
SLC16A12,black,147
UBXN10,blue,703
PTGIS,turquoise,1278
LPA,blue,703
ZCCHC16,blue,703
IGFBP1,blue,703
HSD17B6,blue,703
B4GALNT1,grey,1238
SDK1,turquoise,1278
G6PC,blue,703
RHBDL3,black,147
WISP2,turquoise,1278
GRIN2A,turquoise,1278
FRMPD1,grey,1238
SLC22A17,turquoise,1278
C9orf122,turquoise,1278
CCDC80,turquoise,1278
GAGE12J,red,166
LRRC50,grey,1238
PCDHA13,grey,1238
CNTN1,turquoise,1278
MAEL,grey,1238
PRKAA2,black,147
NLGN4X,red,166
ESRRG,grey,1238
MMP9,brown,642
ADAM23,brown,642
ACOT12,blue,703
CPA3,brown,642
XK,grey,1238
OVOL1,turquoise,1278
TBC1D3G,grey,1238
TEX11,red,166
NKAIN2,red,166
C2orf82,grey,1238
PFKFB1,blue,703
SFRP2,turquoise,1278
CDHR5,blue,703
LGR6,turquoise,1278
GOLGA7B,turquoise,1278
SSTR1,black,147
APLP1,turquoise,1278
CDH17,turquoise,1278
TNNC1,grey,1238
EIF3C,green,313
OSR2,grey,1238
FBLL1,yellow,513
LDHC,grey,1238
UBE2QL1,grey,1238
APCS,blue,703
VNN2,brown,642
BMP7,turquoise,1278
SDK2,turquoise,1278
FAM198A,grey,1238
ACSM2B,blue,703
ENHO,blue,703
NALCN,turquoise,1278
VCY,red,166
RASGEF1A,brown,642
TACSTD2,turquoise,1278
IRX3,grey,1238
NXPH4,yellow,513
C10orf116,grey,1238
CLEC2L,red,166
ARSE,grey,1238
HOXC9,grey,1238
PRAMEF8,grey,1238
VAT1L,grey,1238
HSPB8,turquoise,1278
TNFRSF11B,brown,642
VNN3,grey,1238
ANO5,grey,1238
IL17D,grey,1238
KCND3,green,313
SYT7,blue,703
FHOD3,turquoise,1278
MYO7B,turquoise,1278
PLG,blue,703
IGDCC3,grey,1238
PCDHGA2,green,313
GAD1,grey,1238
XKR9,grey,1238
PTHLH,turquoise,1278
TRIM9,grey,1238
SMPX,grey,1238
INHA,turquoise,1278
