gene,module,n
F11,blue,703
MSMB,grey,1238
C22orf45,blue,703
PRTG,turquoise,1278
CIB2,yellow,513
ZNF714,yellow,513
ENTPD2,yellow,513
TROAP,yellow,513
C12orf59,grey,1238
C6orf154,grey,1238
GHR,blue,703
DUSP13,grey,1238
CDC20,yellow,513
RYR1,brown,642
COL11A2,grey,1238
BHMT2,blue,703
DPCR1,grey,1238
CLEC4E,brown,642
RENBP,brown,642
ELOVL2,blue,703
C15orf27,yellow,513
RDM1,yellow,513
GDF7,green,313
LRRC26,grey,1238
HIST1H2AE,grey,1238
PIPOX,blue,703
C17orf96,grey,1238
FAM83B,turquoise,1278
ICAM4,brown,642
TMPRSS4,turquoise,1278
LIPC,blue,703
C14orf53,blue,703
PKP1,turquoise,1278
TPRXL,red,166
CCL15,blue,703
RAB3D,turquoise,1278
SEMA3D,brown,642
ABCA9,blue,703
AMBP,blue,703
HIST1H4H,grey,1238
GPR182,turquoise,1278
CORIN,black,147
BMP5,turquoise,1278
CTSW,brown,642
ZNF880,yellow,513
TMEM200A,turquoise,1278
MPP2,yellow,513
CDC25C,yellow,513
CMYA5,grey,1238
CCDC64,yellow,513
ITIH2,blue,703
KLHDC7A,grey,1238
SFTPD,grey,1238
SNX7,grey,1238
FPR1,brown,642
LOC100130933,grey,1238
GLIS3,turquoise,1278
C20orf70,yellow,513
RGS16,grey,1238
TRIM6,brown,642
PLCH1,yellow,513
F3,turquoise,1278
TMEM90B,turquoise,1278
ICOS,brown,642
TGFB2,turquoise,1278
P2RX7,green,313
TUBA3E,grey,1238
ESM1,grey,1238
TMEM25,grey,1238
RFPL1S,grey,1238
MAPK15,turquoise,1278
DFNA5,brown,642
CD22,brown,642
UTS2D,grey,1238
TEK,turquoise,1278
C9orf98,turquoise,1278
HHLA2,yellow,513
NDRG4,turquoise,1278
ANGPTL6,blue,703
S100A6,brown,642
MPPED2,grey,1238
NTN1,blue,703
CAMK1D,black,147
FLG,green,313
MOV10L1,blue,703
GOLIM4,green,313
RLTPR,brown,642
NFE2,grey,1238
CCL13,brown,642
RNASE2,brown,642
TNFRSF18,brown,642
COL21A1,grey,1238
SLC30A4,green,313
SNCAIP,turquoise,1278
FZD10,turquoise,1278
SH3RF3,turquoise,1278
AADAT,blue,703
FAM13C,green,313
DSC3,brown,642
HBB,grey,1238
BIRC5,yellow,513
MYH3,black,147
DZIP1,turquoise,1278
TSPO2,grey,1238
SHROOM2,turquoise,1278
SLC28A2,grey,1238
E2F8,yellow,513
ADM2,yellow,513
TTC22,green,313
AIM1L,grey,1238
UNC5A,turquoise,1278
GPC1,turquoise,1278
ZNF525,yellow,513
MPP3,turquoise,1278
TPPP,grey,1238
ENOX1,black,147
A2M,grey,1238
BGN,turquoise,1278
SGIP1,turquoise,1278
FZD7,turquoise,1278
KSR2,yellow,513
HOXC8,grey,1238
SLC25A24,yellow,513
GIPC2,blue,703
SOX4,yellow,513
OXCT2,grey,1238
CCL3L1,brown,642
SLC19A3,grey,1238
PMAIP1,brown,642
CD36,grey,1238
LOC201651,blue,703
NECAB1,grey,1238
MST4,yellow,513
RORC,blue,703
COL27A1,green,313
NUF2,yellow,513
KIAA0408,grey,1238
CDKL5,green,313
DMBX1,yellow,513
CCDC155,grey,1238
CDX2,yellow,513
CAPN9,grey,1238
C1orf59,brown,642
VAX2,turquoise,1278
MRC1,brown,642
APLNR,turquoise,1278
RIMBP2,grey,1238
KIF2C,yellow,513
SPOCD1,brown,642
PSAPL1,yellow,513
GPSM1,turquoise,1278
ACAP1,brown,642
ADRB2,blue,703
FAM184A,blue,703
CXCR6,brown,642
PMFBP1,grey,1238
GPR44,grey,1238
PRR5-ARHGAP8,grey,1238
MAPK10,turquoise,1278
THNSL2,grey,1238
DLX4,yellow,513
P2RX6,grey,1238
BDKRB1,turquoise,1278
CTNNA3,blue,703
DCX,grey,1238
CLDN22,grey,1238
CCDC74A,turquoise,1278
LOC100170939,green,313
FAM65C,turquoise,1278
TMPRSS13,turquoise,1278
CPB2,blue,703
PTGS2,turquoise,1278
TM4SF4,blue,703
ARID3A,yellow,513
PRIMA1,turquoise,1278
MCOLN2,brown,642
ADRB1,grey,1238
THBS1,turquoise,1278
CDK18,grey,1238
STAG3,blue,703
SNORD116-28,green,313
C4BPB,blue,703
FLJ42289,blue,703
KIAA1984,yellow,513
CDK6,black,147
DACT1,turquoise,1278
PRRX2,turquoise,1278
HLA-DQB1,brown,642
SLC25A27,grey,1238
PRKAR2B,brown,642
HIST1H2BJ,grey,1238
LOC645166,yellow,513
ADRA1B,blue,703
GALNTL1,turquoise,1278
KAL1,turquoise,1278
SLCO6A1,red,166
C10orf128,green,313
FAM27C,yellow,513
KIAA1804,green,313
DGCR9,grey,1238
BHLHA15,green,313
OSGIN1,blue,703
KLB,blue,703
SPNS3,brown,642
ABCC11,blue,703
PKD2L1,black,147
PGBD5,grey,1238
MLLT3,brown,642
ZMYND12,blue,703
VWDE,turquoise,1278
KCND2,turquoise,1278
RAG1,green,313
C11orf53,yellow,513
FHAD1,yellow,513
IGF1R,turquoise,1278
EGR2,turquoise,1278
KCNS1,turquoise,1278
RUNDC3B,blue,703
ICA1,grey,1238
FAM171A2,turquoise,1278
ADAM33,turquoise,1278
HDC,blue,703
HCN4,turquoise,1278
FAM70A,brown,642
VDR,brown,642
MYBPH,grey,1238
TSPAN11,turquoise,1278
DDR2,green,313
PRR18,blue,703
LYNX1,blue,703
ZNF827,green,313
PTX3,turquoise,1278
C8orf46,blue,703
LOC220594,grey,1238
NDN,turquoise,1278
SCML4,brown,642
ALOX5AP,brown,642
TDRD10,grey,1238
MAP3K5,green,313
VIPR2,turquoise,1278
UGCG,green,313
SYT2,turquoise,1278
C9orf57,grey,1238
FLRT3,grey,1238
KIF5C,turquoise,1278
MXRA8,turquoise,1278
BEND5,turquoise,1278
SLC2A4,grey,1238
ARHGAP20,green,313
HIF3A,grey,1238
CRYM,blue,703
LRRC4C,turquoise,1278
ZNF492,yellow,513
DUSP4,brown,642
MYO16,blue,703
HSH2D,brown,642
MYO3A,turquoise,1278
UBE2C,yellow,513
ACY3,blue,703
IL2RG,brown,642
RALGAPA2,green,313
PTGR1,blue,703
B3GNT7,brown,642
F7,blue,703
GDF1,yellow,513
EFCAB4A,turquoise,1278
GPX7,yellow,513
TGFBRAP1,green,313
FBXO16,grey,1238
CD2,brown,642
C1orf61,grey,1238
KREMEN2,yellow,513
CD3G,brown,642
ZNF683,brown,642
ITGA3,turquoise,1278
ARHGEF35,grey,1238
GPAM,blue,703
FRMD7,grey,1238
CA1,grey,1238
DLGAP5,yellow,513
SLC6A3,turquoise,1278
EFS,turquoise,1278
CGREF1,grey,1238
DGKG,brown,642
L1CAM,brown,642
NUP62CL,grey,1238
KLHL30,turquoise,1278
RGS11,turquoise,1278
NEFL,turquoise,1278
ASPA,grey,1238
FCRLB,grey,1238
DCXR,blue,703
ARMC4,grey,1238
PITPNM3,turquoise,1278
SOX11,turquoise,1278
WFDC1,turquoise,1278
340602,red,166
LAMP3,brown,642
RGS2,brown,642
HOXD4,grey,1238
PROK1,grey,1238
CENPA,yellow,513
ULBP2,turquoise,1278
UNC5D,grey,1238
JAKMIP3,turquoise,1278
ZSCAN18,grey,1238
KLK10,turquoise,1278
LRRC7,turquoise,1278
C9orf140,yellow,513
ZNF354C,green,313
LIPG,blue,703
C20orf151,turquoise,1278
LRG1,blue,703
AMH,grey,1238
KYNU,grey,1238
FOXF2,turquoise,1278
CALY,grey,1238
ZBP1,brown,642
LTBP2,turquoise,1278
FOLH1,blue,703
INHBA,green,313
ZNF781,yellow,513
INSIG1,blue,703
ARRDC4,grey,1238
METRN,grey,1238
PRSS1,grey,1238
C6orf123,blue,703
RAPGEF6,green,313
TMEM54,turquoise,1278
SLC2A1,brown,642
GUCY2D,grey,1238
PRUNE2,brown,642
INSC,grey,1238
TMEM150C,green,313
PVT1,grey,1238
FKBP10,turquoise,1278
BIRC3,brown,642
CAPG,brown,642
C20orf118,brown,642
ART5,grey,1238
LOC100130238,grey,1238
PRKD1,turquoise,1278
HLA-DQA1,brown,642
RNF186,yellow,513
KIF4A,yellow,513
GREB1L,green,313
LAMB3,grey,1238
ITGA9,turquoise,1278
FLJ40330,brown,642
C6orf174,turquoise,1278
BRIP1,green,313
XCL1,brown,642
BCL2A1,brown,642
CTXN1,turquoise,1278
ANTXR1,turquoise,1278
SLC6A9,grey,1238
PLTP,brown,642
SERPINA10,blue,703
GPR110,black,147
MTNR1B,yellow,513
KCNJ15,grey,1238
UMODL1,grey,1238
LGALS9B,grey,1238
CHADL,grey,1238
KIF23,yellow,513
LOX,turquoise,1278
SLC45A4,turquoise,1278
BUB1B,yellow,513
FOXL1,turquoise,1278
THSD4,green,313
DKK3,turquoise,1278
UAP1L1,brown,642
CYTSB,turquoise,1278
CCL22,brown,642
AMOTL1,turquoise,1278
ZNF682,yellow,513
LOC100192378,grey,1238
GLT25D2,turquoise,1278
ITGA8,green,313
RAD54L,yellow,513
LOC100133669,grey,1238
FHL2,turquoise,1278
FAM153A,turquoise,1278
CD3E,brown,642
GDF15,grey,1238
CD5,brown,642
LAG3,brown,642
TP63,grey,1238
MAN1C1,blue,703
CRIP3,blue,703
DGAT2,blue,703
SSX5,red,166
ZC3HAV1L,green,313
TMEM195,blue,703
KIF18B,yellow,513
CHIC1,brown,642
GRAP2,brown,642
KISS1,grey,1238
AATK,turquoise,1278
ZNF300,yellow,513
TRAT1,brown,642
PSTPIP1,brown,642
ENPP2,grey,1238
GPR75,green,313
CCDC144B,green,313
ELOVL3,yellow,513
KIAA1644,turquoise,1278
VEGFB,yellow,513
MBOAT2,turquoise,1278
SRPK3,turquoise,1278
STMN3,turquoise,1278
WIT1,grey,1238
LOC153910,grey,1238
CD44,brown,642
RNASE7,grey,1238
LOC647859,grey,1238
PLAC9,turquoise,1278
C1QTNF7,turquoise,1278
CHRFAM7A,turquoise,1278
SEMA4F,grey,1238
IGFBP5,turquoise,1278
FCN1,brown,642
CASQ2,grey,1238
ZNF391,yellow,513
LRRC2,blue,703
EGFL6,turquoise,1278
CYBA,brown,642
SH2D2A,brown,642
RIMS2,red,166
VGLL3,turquoise,1278
NR4A3,turquoise,1278
PLA2G4F,turquoise,1278
ZNF793,yellow,513
CD6,brown,642
FMN2,grey,1238
ADAMTS18,grey,1238
RFX6,black,147
RIMKLA,turquoise,1278
BST2,grey,1238
BMP4,black,147
SERINC5,green,313
CENPI,yellow,513
SIT1,brown,642
CTAGE9,grey,1238
PCDHB7,turquoise,1278
TMEM144,brown,642
CDH10,yellow,513
NKX3-2,yellow,513
TSPAN10,grey,1238
KCNC1,yellow,513
LGALS3,turquoise,1278
AUTS2,blue,703
ACP5,brown,642
TMEM132A,turquoise,1278
SLC2A6,brown,642
EYA1,yellow,513
REEP6,blue,703
CHST11,brown,642
TXLNB,brown,642
KCNN4,brown,642
PTPRU,turquoise,1278
TOP2A,yellow,513
C9orf129,green,313
SLC23A1,blue,703
CLDN15,blue,703
KIF20A,yellow,513
FAM132A,grey,1238
CRISPLD1,turquoise,1278
GPR171,brown,642
LOC650623,green,313
PFKFB3,turquoise,1278
GABBR1,turquoise,1278
FAM81A,yellow,513
FBXO27,grey,1238
NR4A2,grey,1238
LRAT,grey,1238
CPA4,turquoise,1278
GIPR,turquoise,1278
BUB1,yellow,513
SIGLEC8,brown,642
ETV1,grey,1238
DHDH,yellow,513
USP12,green,313
C21orf29,grey,1238
CCDC109B,brown,642
QPCT,brown,642
S100B,brown,642
HCN1,grey,1238
RALYL,grey,1238
COL12A1,turquoise,1278
SH2D1A,brown,642
FBXL2,turquoise,1278
KLRB1,brown,642
APBA1,blue,703
LGI2,turquoise,1278
WSCD1,turquoise,1278
CORO2B,turquoise,1278
MN1,turquoise,1278
ANKRD43,blue,703
ZNF93,yellow,513
BDH1,blue,703
ABCA10,grey,1238
RBM20,grey,1238
PCDHGA1,green,313
GDF6,turquoise,1278
MGC12916,grey,1238
LOC441204,turquoise,1278
SH2D3A,turquoise,1278
SYN3,grey,1238
OLFML3,turquoise,1278
LEPROT,green,313
HOXD8,grey,1238
GYG2,grey,1238
HOMER2,blue,703
CD300LB,brown,642
TMEM158,brown,642
TLR8,brown,642
IPMK,green,313
GPRIN3,brown,642
PLA2G4A,turquoise,1278
SYT15,grey,1238
CADM4,grey,1238
CYP4X1,blue,703
PCDHB9,turquoise,1278
ERN1,green,313
PCSK5,turquoise,1278
CRMP1,turquoise,1278
ZNF430,green,313
MTMR11,grey,1238
CYP7B1,blue,703
GC,blue,703
SLC34A1,blue,703
DCLK1,turquoise,1278
OXTR,turquoise,1278
C16orf89,turquoise,1278
C8orf84,grey,1238
CYFIP2,grey,1238
CASKIN1,yellow,513
BEAN,turquoise,1278
CLDN16,green,313
MAMDC2,turquoise,1278
FGF1,turquoise,1278
WBSCR28,grey,1238
MS4A2,brown,642
TRO,blue,703
HAPLN3,brown,642
C3orf67,green,313
ATP1A3,brown,642
ANG,blue,703
LHX2,turquoise,1278
KLC3,turquoise,1278
ALDH6A1,blue,703
PRRX1,turquoise,1278
CCL2,turquoise,1278
FAM160A1,grey,1238
MEI1,brown,642
CSF2RA,brown,642
CPNE6,grey,1238
ULBP1,turquoise,1278
DIO3OS,grey,1238
TMEM200C,turquoise,1278
FUT4,turquoise,1278
FAM163B,turquoise,1278
FMO5,blue,703
SLC7A4,turquoise,1278
CDSN,turquoise,1278
PRICKLE2,turquoise,1278
DEPDC1,yellow,513
LPAR3,grey,1238
CNN1,turquoise,1278
SBK1,yellow,513
IKBKE,brown,642
MTMR7,yellow,513
CMBL,blue,703
ABLIM2,turquoise,1278
FAM69C,grey,1238
STOX2,green,313
KLF7,green,313
TSHZ2,green,313
MLLT11,grey,1238
C9orf110,brown,642
GDNF,grey,1238
ANK1,brown,642
E2F7,yellow,513
C17orf28,turquoise,1278
GPT2,blue,703
CTAGE4,grey,1238
MBNL3,green,313
ZNF560,yellow,513
DDIT4L,grey,1238
ARHGEF37,grey,1238
AMIGO2,turquoise,1278
ANKS4B,blue,703
C16orf73,grey,1238
ADORA2B,yellow,513
MEOX2,grey,1238
JAKMIP1,brown,642
DPF3,grey,1238
FAM169A,black,147
FAM40B,yellow,513
ETV3,green,313
PROC,blue,703
CCL14,grey,1238
TRPM6,grey,1238
CDHR1,brown,642
MYOCD,turquoise,1278
HBE1,red,166
AGBL2,grey,1238
MYBPC1,grey,1238
NCKAP5,green,313
NCF1C,brown,642
P2RX2,grey,1238
AMACR,black,147
GOLM1,brown,642
TNN,turquoise,1278
GTF2A1,green,313
DKFZp779M0652,blue,703
PCDHGA7,green,313
PLK1,yellow,513
AAA1,yellow,513
SLIT3,turquoise,1278
MCM10,yellow,513
TACR1,grey,1238
PTTG1,yellow,513
SKA1,yellow,513
ISYNA1,turquoise,1278
ZNF486,yellow,513
FBXO41,brown,642
CD69,brown,642
ZNF610,yellow,513
NEK2,yellow,513
PYHIN1,brown,642
LRP8,brown,642
TPRG1,blue,703
ACTG2,grey,1238
MPP7,grey,1238
COL23A1,turquoise,1278
LIFR,turquoise,1278
MCC,green,313
C14orf72,brown,642
ASCL2,brown,642
TRIM10,grey,1238
EHHADH,blue,703
PSCA,turquoise,1278
CACNA2D3,grey,1238
OSBP2,yellow,513
ANKRD53,grey,1238
APOB,blue,703
SLC2A12,grey,1238
PTGER3,turquoise,1278
CES2,blue,703
TBC1D10C,brown,642
KIF18A,yellow,513
CARD11,brown,642
LYVE1,grey,1238
SULF2,turquoise,1278
TRPC3,grey,1238
CCDC144A,green,313
PAR5,green,313
SLC35F2,brown,642
SLC1A5,brown,642
EOMES,brown,642
ZFP57,grey,1238
GALNT14,turquoise,1278
C21orf63,turquoise,1278
CBX6,turquoise,1278
FAM38B,green,313
BAGE2,red,166
NMNAT2,turquoise,1278
AIFM3,yellow,513
ZDHHC11,grey,1238
NCF1,brown,642
ZNF280B,brown,642
LRRC3,blue,703
RNF150,turquoise,1278
SPIRE1,turquoise,1278
FHDC1,turquoise,1278
CLVS2,grey,1238
RUNDC3A,yellow,513
IL1B,brown,642
LRRC6,grey,1238
CCL4L2,brown,642
ASGR1,blue,703
SLC22A4,black,147
ADCYAP1,grey,1238
RNF43,black,147
KCNJ6,grey,1238
MFAP5,turquoise,1278
TAF4B,turquoise,1278
RGS13,brown,642
LRRC16A,turquoise,1278
CXCR5,brown,642
SLC16A3,brown,642
CLDN14,blue,703
IL33,turquoise,1278
DACT3,turquoise,1278
SLC6A10P,yellow,513
C1QL3,green,313
MAMLD1,turquoise,1278
RAVER2,yellow,513
OOEP,grey,1238
SLC47A1,blue,703
GPR84,brown,642
IL20RB,red,166
KAZALD1,grey,1238
ZNF662,grey,1238
PCSK9,blue,703
C8G,blue,703
SYT5,yellow,513
CAND2,turquoise,1278
CCR2,brown,642
ABAT,blue,703
IL34,turquoise,1278
FAM84A,turquoise,1278
TNFSF15,turquoise,1278
ANK2,brown,642
ADRBK2,black,147
GTSE1,yellow,513
OASL,blue,703
SPATA6,green,313
FAM26F,brown,642
GPR17,green,313
CCR7,brown,642
CENPM,yellow,513
LTBP4,turquoise,1278
ITK,brown,642
ABCA4,grey,1238
ERC2,red,166
SEPT4,black,147
MSLN,grey,1238
C2orf40,turquoise,1278
GPBAR1,turquoise,1278
652919,green,313
CCNB2,yellow,513
CKAP2L,yellow,513
SLC7A2,blue,703
PHKA1,grey,1238
ZNF568,grey,1238
RAP1GAP,turquoise,1278
ANLN,yellow,513
CFP,brown,642
P2RY10,brown,642
APBB1IP,brown,642
ASAH2B,green,313
CCDC113,grey,1238
B3GNT5,green,313
DUSP26,brown,642
CHST10,yellow,513
C6orf186,green,313
IER3,brown,642
ZNF816A,yellow,513
PCDHB14,turquoise,1278
HIST1H3H,grey,1238
FOXC1,turquoise,1278
HLA-G,brown,642
C14orf37,turquoise,1278
LOC730101,grey,1238
TMEM121,turquoise,1278
UBASH3A,brown,642
WDFY4,brown,642
OLFML1,turquoise,1278
LILRA3,brown,642
LPAR2,brown,642
ZNF626,grey,1238
IFNG,brown,642
TWIST1,turquoise,1278
KLRK1,brown,642
OLFM3,red,166
FAM27A,yellow,513
AURKB,yellow,513
ESPL1,yellow,513
C10orf91,yellow,513
EPHA6,turquoise,1278
FAM124B,turquoise,1278
DNASE1L2,black,147
POU5F1,grey,1238
MYO3B,grey,1238
ZNF462,green,313
SERP2,grey,1238
CHRNA5,turquoise,1278
CCL5,brown,642
DNAJC6,grey,1238
SLC14A1,turquoise,1278
C1orf95,green,313
GALNT7,turquoise,1278
OSBPL6,yellow,513
GADD45G,blue,703
ADAMTS10,turquoise,1278
C13orf29,red,166
CELSR3,grey,1238
SNAI2,grey,1238
NPR2,black,147
SEMA7A,black,147
PLAGL1,turquoise,1278
DUSP2,brown,642
IFI6,grey,1238
ZC3H12B,grey,1238
CBS,blue,703
PLA1A,grey,1238
CYB5R2,turquoise,1278
RASA2,green,313
SLC38A11,black,147
EGR1,turquoise,1278
UHRF1,yellow,513
DZIP1L,turquoise,1278
SERPINA6,blue,703
HEYL,turquoise,1278
CD1D,grey,1238
SERPINB5,grey,1238
GLIS2,turquoise,1278
MYC,grey,1238
FAIM2,turquoise,1278
LOC285768,grey,1238
HIST1H2BC,grey,1238
KCP,yellow,513
MAP2K6,grey,1238
FAM176A,blue,703
RPRML,grey,1238
C3orf55,yellow,513
SERPINB3,grey,1238
PCDHGA6,green,313
KCNMA1,grey,1238
SFRS13B,yellow,513
LCK,brown,642
REG4,grey,1238
MARVELD1,turquoise,1278
SGOL1,yellow,513
DLX1,grey,1238
TLR2,brown,642
MYT1,grey,1238
PRSS35,turquoise,1278
C3orf65,grey,1238
CCDC141,brown,642
GPR176,green,313
ZNF321,yellow,513
GALNTL2,blue,703
MAL,brown,642
CSF3R,brown,642
NCS1,turquoise,1278
VTN,blue,703
CAPN12,grey,1238
MGC57346,yellow,513
NPAS1,yellow,513
ABCC6P1,blue,703
PCYT1B,turquoise,1278
SLC46A2,grey,1238
LOC654342,yellow,513
HSD3B2,blue,703
OR2A4,grey,1238
C6orf27,green,313
STAT4,brown,642
WNT10A,brown,642
MATN2,green,313
EMR1,brown,642
FAM83G,green,313
HOXB7,brown,642
GCNT4,green,313
VSIG4,brown,642
CDCA2,yellow,513
IKZF3,brown,642
NOS2,grey,1238
OLFM2,blue,703
CSPG5,yellow,513
RNF183,grey,1238
TTLL6,yellow,513
ADAMTSL1,turquoise,1278
SERTAD4,green,313
LGALS14,yellow,513
CA8,turquoise,1278
LRRC69,red,166
SCN2A,grey,1238
CYP2W1,yellow,513
HK3,brown,642
TRIM74,grey,1238
PDE6B,brown,642
UNC5CL,grey,1238
ZNF366,green,313
C15orf42,yellow,513
GPR62,grey,1238
CACNG1,grey,1238
SHCBP1,yellow,513
ANKRD2,grey,1238
ZNF611,yellow,513
C10orf72,black,147
SNCA,turquoise,1278
THSD7A,turquoise,1278
HLA-DRB1,brown,642
LMOD1,grey,1238
ZNF502,grey,1238
HPDL,yellow,513
GDPD4,blue,703
AKR7L,blue,703
KLKB1,blue,703
SLC38A8,grey,1238
C3orf45,grey,1238
CCDC135,black,147
ATP1B2,turquoise,1278
TSPY1,red,166
EFNB3,turquoise,1278
NIPAL2,green,313
KRTAP5-5,grey,1238
DTX4,grey,1238
BFSP2,brown,642
CPVL,brown,642
SHOX2,yellow,513
MGC87042,grey,1238
DRD4,grey,1238
HOXA7,grey,1238
BACH2,turquoise,1278
ZCCHC12,black,147
PLXDC2,turquoise,1278
KLHDC7B,brown,642
AQP1,turquoise,1278
PTPRC,brown,642
PPM1N,brown,642
P2RY6,brown,642
ADAMTS15,green,313
SSBP2,turquoise,1278
CLIC5,turquoise,1278
ZNF804A,brown,642
ACOX2,blue,703
CYTIP,brown,642
LOC100190940,grey,1238
SMARCD3,turquoise,1278
MYB,yellow,513
LOC285733,blue,703
SFMBT2,green,313
PLEKHA4,brown,642
RSPO4,grey,1238
MESP2,yellow,513
PTGS1,brown,642
CCDC78,turquoise,1278
EFCAB1,grey,1238
MARK1,turquoise,1278
TDRD1,grey,1238
TCF21,turquoise,1278
SLC2A14,green,313
IL17RD,turquoise,1278
DNAJA4,turquoise,1278
ZFR2,grey,1238
GALNT13,turquoise,1278
BEND6,turquoise,1278
ANGPT1,turquoise,1278
SCRN1,turquoise,1278
NYNRIN,grey,1238
CDC45,yellow,513
HPSE,brown,642
FATE1,grey,1238
APOC1,blue,703
PDZD4,turquoise,1278
PLA2G7,brown,642
ZNF285,yellow,513
ACSL5,blue,703
IQSEC3,green,313
RNF180,turquoise,1278
RCAN2,turquoise,1278
HJURP,yellow,513
FHL5,grey,1238
HAP1,turquoise,1278
C5orf20,brown,642
C2CD4B,turquoise,1278
HSPA6,brown,642
DMC1,yellow,513
RGN,blue,703
ZNF727,grey,1238
GZMB,brown,642
SPC24,yellow,513
SEC14L5,grey,1238
LOC729156,grey,1238
AOAH,brown,642
IQCD,yellow,513
PIP5K1B,brown,642
LOC646851,yellow,513
ZNF418,yellow,513
CCDC28B,yellow,513
PRKG1,green,313
TIMP4,grey,1238
CGN,blue,703
MAPK12,turquoise,1278
OIT3,blue,703
RNFT2,yellow,513
BTBD11,grey,1238
MAP6,turquoise,1278
IL17RE,grey,1238
SOCS3,brown,642
HBA2,grey,1238
CMAH,grey,1238
LDLRAD3,green,313
FCGR1B,brown,642
PON3,blue,703
SYTL1,brown,642
CYP2J2,blue,703
GATA3,brown,642
MAP3K13,green,313
CCT6B,grey,1238
TRPM3,black,147
GPR89B,green,313
BRDT,red,166
ITGAM,brown,642
ELOVL4,brown,642
PLLP,grey,1238
ZNF415,yellow,513
ZNF831,brown,642
TMEM30B,grey,1238
MAPT,grey,1238
AMBN,grey,1238
LOC100271831,grey,1238
PCDHGA11,green,313
HPGDS,brown,642
ALX3,green,313
HAR1A,brown,642
POU3F2,yellow,513
IL18R1,brown,642
DLL1,turquoise,1278
MST1,blue,703
ASGR2,blue,703
LTBP1,turquoise,1278
FAT3,turquoise,1278
IQGAP3,yellow,513
FABP3,brown,642
GP1BA,brown,642
PCDHGA9,green,313
SLC22A18,blue,703
MX2,brown,642
SLC12A8,turquoise,1278
SH3RF2,blue,703
ZNF737,yellow,513
ZIK1,yellow,513
ZNF281,green,313
CETP,grey,1238
FGF7,turquoise,1278
HIST1H3D,grey,1238
PCDHGB3,green,313
FLT3,brown,642
C21orf34,blue,703
CPB1,grey,1238
TBX10,blue,703
RPPH1,grey,1238
ZFP3,turquoise,1278
TNFRSF11A,yellow,513
DLG2,blue,703
GALNT5,turquoise,1278
DIAPH3,yellow,513
LOC391322,grey,1238
FAM72A,yellow,513
PRKCZ,grey,1238
BLM,yellow,513
CNTN4,turquoise,1278
APLN,grey,1238
IL1RN,blue,703
LOC100190986,green,313
ANO4,turquoise,1278
ANKRD56,green,313
LOC100190938,grey,1238
FITM1,blue,703
CD96,brown,642
SLC6A16,grey,1238
FBN1,turquoise,1278
NTF3,turquoise,1278
AP3B2,yellow,513
OCIAD2,blue,703
CEP55,yellow,513
NRAP,grey,1238
HERC5,grey,1238
COL6A3,turquoise,1278
MELK,yellow,513
C20orf177,green,313
RAB38,brown,642
HOXC4,brown,642
ELMOD1,grey,1238
PYCARD,brown,642
ZNF43,yellow,513
GAP43,turquoise,1278
SCG3,yellow,513
MBOAT1,grey,1238
LOC283070,black,147
LOC149837,turquoise,1278
ZNF347,yellow,513
PTPRZ1,turquoise,1278
NKG7,brown,642
FNDC4,blue,703
DYX1C1,yellow,513
FGF17,grey,1238
WBSCR27,grey,1238
LRRC52,black,147
CTF1,turquoise,1278
C15orf52,turquoise,1278
C1QTNF2,turquoise,1278
PLCB1,yellow,513
BRCA2,green,313
CD1A,brown,642
PRR5L,black,147
CXCR7,turquoise,1278
C6orf150,brown,642
IL12RB2,black,147
GLI1,turquoise,1278
ITM2A,brown,642
MPZL3,green,313
TARP,brown,642
SPTBN4,grey,1238
SNRPN,grey,1238
ADAMTS14,turquoise,1278
CDKN2BAS,yellow,513
ASPM,yellow,513
ADAMTS6,turquoise,1278
TANC2,turquoise,1278
TAS1R3,brown,642
OVGP1,grey,1238
FFAR2,brown,642
SLC12A2,turquoise,1278
PHEX,grey,1238
SV2A,turquoise,1278
LOC387646,yellow,513
LY9,brown,642
GBP3,grey,1238
HOXA5,grey,1238
FCGR1C,brown,642
LRFN1,yellow,513
BCL11B,brown,642
SEPT5,turquoise,1278
SPAG4,grey,1238
PIWIL2,green,313
KIF21B,grey,1238
S100A3,brown,642
AGPAT9,grey,1238
PDZRN4,turquoise,1278
LIME1,blue,703
GZMA,brown,642
FOXM1,yellow,513
EMB,brown,642
LSR,grey,1238
HIST1H2BG,grey,1238
ISM2,grey,1238
AMPH,turquoise,1278
LIMS1,green,313
GPR183,brown,642
COL13A1,turquoise,1278
CDH1,grey,1238
FIGN,yellow,513
FAM24B,yellow,513
ITGB4,turquoise,1278
KCNN1,yellow,513
LRRC8E,grey,1238
SLAMF6,brown,642
LOC100127888,yellow,513
ADAM11,grey,1238
KIRREL2,yellow,513
CLDN9,grey,1238
SNAI1,turquoise,1278
FAM13A,grey,1238
EXO1,yellow,513
CHAF1B,yellow,513
ZNF98,yellow,513
CDKN3,yellow,513
MMP16,turquoise,1278
DOK5,turquoise,1278
RNF39,yellow,513
LIMCH1,turquoise,1278
HIST1H1C,grey,1238
TEKT5,grey,1238
C6orf52,grey,1238
NT5DC2,yellow,513
IL18,brown,642
SLC7A5,grey,1238
LILRB4,brown,642
KCNJ5,brown,642
CA2,blue,703
DKFZp686A1627,red,166
TEX19,yellow,513
CCNJ,turquoise,1278
GAL3ST4,brown,642
CRIP1,turquoise,1278
POLQ,yellow,513
SLITRK4,turquoise,1278
CBR3,brown,642
