Hugo_Symbol,GATA2-High,GATA2-Low,pval,or,ci.up,ci.low,adjPval
VWA5B2,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
ADCY8,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
COL4A5,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
CTNNA2,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
EEF1A1,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
EPB41L3,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
KIAA1244,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
NFE2L2,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
NOTCH3,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
ROBO1,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
TAF1L,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
TRIP12,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
ZNF804B,6,4,0.541278695730556,1.53305898933372,7.5201291797923,0.356468862692613,0.808718766297864
GPR98,11,15,0.542177775962815,0.725203275767443,1.7470595157493,0.29191284766694,0.808718766297864
ADAMTS19,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
ATG2B,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
GABRG1,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
HRNR,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
RELN,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
REV3L,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
RIMS1,4,7,0.542473904965234,0.569025860316657,2.2856032405848,0.119942473107966,0.808718766297864
