db,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,,,GO:0030198,extracellular matrix organization,84/1059,331/18860,0.253776435045317,4.51956899429149,15.7566032468086,1.00899129777816e-32,2.69289672433012e-29,1.99250142184236e-29,MMP7/LUM/SPINT1/COMP/MFAP4/DPT/POSTN/PDGFRA/LOXL4/COL11A1/LAMA2/GREM1/PDPN/CCDC80/SFRP2/APLP1/SPINT2/ELN/LAMA1/SULF1/MMP17/PAPLN/SOX9/ADAMTSL2/CREB3L1/FAP/COL14A1/MMP10/AEBP1/FLRT2/FMOD/COL1A1/ADAMTS2/COL4A3/LOXL1/HAS2/FBLN1/MYH11/COL5A1/COL3A1/ABI3BP/COL8A2/QSOX1/DDR1/NPNT/MMP11/MMP2/HAS1/HMCN1/EMILIN1/COL1A2/MMP23B/ADAMTS3/IL6/FBLN5/PRICKLE1/SMOC2/COL4A4/CYP1B1/CRISPLD2/MMP28/TGFB2/PTX3/FOXF2/FKBP10/ANTXR1/LOX/EGFL6/COL12A1/SULF2/LTBP4/FOXC1/ADAMTS10/ADAMTSL1/ADAMTS14/ADAMTS6/MMP16/PRDM5/ZNF469/TNXB/CTSK/FOXF1/P4HA3/TGFB1,84
GO_BP,,,GO:0043062,extracellular structure organization,84/1059,332/18860,0.253012048192771,4.50595583467013,15.7197748666574,1.28067492083542e-32,2.69289672433012e-29,1.99250142184236e-29,MMP7/LUM/SPINT1/COMP/MFAP4/DPT/POSTN/PDGFRA/LOXL4/COL11A1/LAMA2/GREM1/PDPN/CCDC80/SFRP2/APLP1/SPINT2/ELN/LAMA1/SULF1/MMP17/PAPLN/SOX9/ADAMTSL2/CREB3L1/FAP/COL14A1/MMP10/AEBP1/FLRT2/FMOD/COL1A1/ADAMTS2/COL4A3/LOXL1/HAS2/FBLN1/MYH11/COL5A1/COL3A1/ABI3BP/COL8A2/QSOX1/DDR1/NPNT/MMP11/MMP2/HAS1/HMCN1/EMILIN1/COL1A2/MMP23B/ADAMTS3/IL6/FBLN5/PRICKLE1/SMOC2/COL4A4/CYP1B1/CRISPLD2/MMP28/TGFB2/PTX3/FOXF2/FKBP10/ANTXR1/LOX/EGFL6/COL12A1/SULF2/LTBP4/FOXC1/ADAMTS10/ADAMTSL1/ADAMTS14/ADAMTS6/MMP16/PRDM5/ZNF469/TNXB/CTSK/FOXF1/P4HA3/TGFB1,84
GO_BP,,,GO:0045229,external encapsulating structure organization,84/1059,333/18860,0.252252252252252,4.49242443576721,15.6830921559634,1.62385732120409e-32,2.69289672433012e-29,1.99250142184236e-29,MMP7/LUM/SPINT1/COMP/MFAP4/DPT/POSTN/PDGFRA/LOXL4/COL11A1/LAMA2/GREM1/PDPN/CCDC80/SFRP2/APLP1/SPINT2/ELN/LAMA1/SULF1/MMP17/PAPLN/SOX9/ADAMTSL2/CREB3L1/FAP/COL14A1/MMP10/AEBP1/FLRT2/FMOD/COL1A1/ADAMTS2/COL4A3/LOXL1/HAS2/FBLN1/MYH11/COL5A1/COL3A1/ABI3BP/COL8A2/QSOX1/DDR1/NPNT/MMP11/MMP2/HAS1/HMCN1/EMILIN1/COL1A2/MMP23B/ADAMTS3/IL6/FBLN5/PRICKLE1/SMOC2/COL4A4/CYP1B1/CRISPLD2/MMP28/TGFB2/PTX3/FOXF2/FKBP10/ANTXR1/LOX/EGFL6/COL12A1/SULF2/LTBP4/FOXC1/ADAMTS10/ADAMTSL1/ADAMTS14/ADAMTS6/MMP16/PRDM5/ZNF469/TNXB/CTSK/FOXF1/P4HA3/TGFB1,84
GO_BP,,,GO:0072001,renal system development,72/1059,334/18860,0.215568862275449,3.83912062560432,12.7688374556277,1.53335281915941e-23,1.90710756882951e-20,1.41108810752643e-20,EPCAM/FGFR2/FREM2/PROM1/FRAS1/CD24/BICC1/WNT4/PDGFRA/PKHD1/GREM1/WNT7B/OVOL1/BMP7/TACSTD2/CYP26B1/SULF1/MMP17/SOX9/STRA6/RET/CRLF1/VANGL2/KIF26B/PTK7/COL4A3/ANKS6/HAS2/SFRP1/OSR1/NPNT/GLI2/ALDH1A2/PBX1/PRICKLE1/KLHL3/COL4A4/CDKN1C/BMPER/TGFB2/TEK/ITGA3/SOX11/GDF6/PCSK5/FGF1/MYOCD/SULF2/FOXC1/EGR1/HEYL/GLIS2/AQP1/TCF21/ANGPT1/DLL1/FBN1/ADAMTS6/FGFR1/DCHS2/DYNC2H1/FOXF1/PRKX/PDGFA/SOX8/PLCE1/EDN1/PDGFD/TMEM59L/TGFB1/KIRREL3/GLI3,72
GO_BP,,,GO:0001822,kidney development,69/1059,323/18860,0.213622291021672,3.80445364369096,12.3998066176035,2.29105497528286e-22,2.27959970040645e-19,1.6866987891714e-19,EPCAM/FGFR2/FREM2/PROM1/FRAS1/CD24/BICC1/WNT4/PDGFRA/PKHD1/GREM1/WNT7B/OVOL1/BMP7/TACSTD2/CYP26B1/SULF1/MMP17/SOX9/STRA6/RET/CRLF1/VANGL2/KIF26B/PTK7/COL4A3/ANKS6/HAS2/SFRP1/OSR1/NPNT/GLI2/ALDH1A2/PBX1/KLHL3/COL4A4/CDKN1C/BMPER/TGFB2/TEK/ITGA3/SOX11/GDF6/PCSK5/FGF1/SULF2/FOXC1/EGR1/HEYL/GLIS2/AQP1/TCF21/ANGPT1/DLL1/FBN1/ADAMTS6/FGFR1/DCHS2/DYNC2H1/PRKX/PDGFA/SOX8/PLCE1/EDN1/PDGFD/TMEM59L/TGFB1/KIRREL3/GLI3,69
GO_BP,,,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,61/1059,279/18860,0.218637992831541,3.8937795512775,11.877310596224,1.92511744987896e-20,1.59624321885797e-17,1.18107644249592e-17,CLDN4/CLDN10/PCDHAC2/GATA5/PTPRS/CEACAM6/GPC4/SDK1/CDH17/SDK2/PLXNB3/PCDHA12/RET/PCDHB5/CDH19/DSCAML1/PCDHA11/PTK7/PTPRT/CDH11/PCDHA10/PCDHB8/MDGA1/PCDH7/PCDHB2/PCDHA3/PCDHAC1/SELP/CLDN11/PCDHA4/PCDH9/CLSTN2/PCDHB16/HMCN1/PCDHB11/CDH6/CDH3/PCDHB13/TGFB2/LRRC4C/ITGA3/PCDHB7/PCDHB9/AMIGO2/PCDHB14/FAT3/CNTN4/KLF4/PCDHB6/PCDHB10/DCHS2/NEXN/PCDHB15/NLGN1/PCDHB4/CLDN5/LRFN4/PCDHB12/PCDH18/IGSF11/KIRREL3,61
GO_BP,,,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,46/1059,168/18860,0.273809523809524,4.87634336076263,12.3093211946769,7.21344843587576e-20,5.12670085264027e-17,3.79329762109136e-17,PCDHAC2/CEACAM6/SDK1/CDH17/SDK2/PLXNB3/PCDHA12/RET/PCDHB5/CDH19/DSCAML1/PCDHA11/PTK7/PTPRT/CDH11/PCDHA10/PCDHB8/PCDH7/PCDHB2/PCDHA3/PCDHAC1/PCDHA4/PCDH9/CLSTN2/PCDHB16/HMCN1/PCDHB11/CDH6/CDH3/PCDHB13/PCDHB7/PCDHB9/AMIGO2/PCDHB14/FAT3/CNTN4/PCDHB6/PCDHB10/DCHS2/NEXN/PCDHB15/PCDHB4/PCDHB12/PCDH18/IGSF11/KIRREL3,46
GO_BP,,,GO:0030199,collagen fibril organization,28/1059,71/18860,0.394366197183099,7.02336777986142,12.402288592715,3.05392866513141e-17,1.89916188862859e-14,1.40520901867954e-14,LUM/COMP/DPT/LOXL4/COL11A1/GREM1/SFRP2/COL14A1/AEBP1/FMOD/COL1A1/ADAMTS2/LOXL1/COL5A1/COL3A1/MMP11/EMILIN1/COL1A2/ADAMTS3/CYP1B1/TGFB2/FKBP10/LOX/COL12A1/FOXC1/ADAMTS14/TNXB/P4HA3,28
GO_BP,,,GO:0007409,axonogenesis,76/1059,472/18860,0.161016949152542,2.86759174789136,10.0223786899481,6.18188402936325e-17,3.41720811623135e-14,2.52842671937816e-14,FGFR2/UCHL1/PCDHAC2/LAMA2/PTPRS/EPHA10/NTRK2/WNT7B/CNTN1/LGR6/APLP1/BMP7/NRXN3/PLXNB3/SEMA3C/BRSK2/PLXNA4/RET/PLEKHG4B/FLRT2/VANGL2/DSCAML1/PTK7/EPHB6/NCAM1/EPHB3/EPHA3/KIAA1755/NGFR/CDH11/ANK3/OLFM1/BCL11A/GLI2/NPTX1/CXCL12/BMPR1B/SEMA6A/CRABP2/PRICKLE1/TIAM2/TGFB2/UNC5A/VAX2/EGR2/NDN/KIF5C/LRRC4C/NEFL/NR4A3/DCLK1/LHX2/TNN/SLIT3/EPHA6/EFNB3/MAP6/CNTN4/GAP43/PTPRZ1/SLITRK4/ULK2/ISLR2/SEMA5A/MAP1A/DCHS2/NEXN/NFASC/PLXNA3/NTRK3/EPHB1/SEMA6D/EDN1/BRSK1/BDNF/GLI3,76
GO_BP,,,GO:0001503,ossification,74/1059,455/18860,0.162637362637363,2.89645010324897,9.98767307670341,9.21830876623198e-17,4.58610861120041e-14,3.39330797426455e-14,FGFR2/COMP/WNT4/GREM1/HAND2/VCAN/WNT7B/CHRDL1/SFRP2/BMP7/PTHLH/SOX9/CREB3L1/CTHRC1/ACHE/GDF2/HGF/COL1A1/TMEM119/LTF/CDH11/CHRDL2/SLC24A3/SFRP1/OSR1/TNC/NPNT/GLI2/MMP2/TNFAIP6/GALNT3/COL1A2/PBX1/PTN/IL6/BMPR1B/ASPN/MGP/PTH1R/PRICKLE1/ITGA11/TWIST2/MRC2/FSTL3/ATP6V1B1/ID4/BMP5/EGR2/SOX11/PRKD1/LOX/FHL2/IGFBP5/GABBR1/MN1/FOXC1/TWIST1/GLI1/COL13A1/SNAI1/MMP16/SMAD9/PKDCC/CLEC11A/MSX2/ID1/FBN2/BMP8A/ECM1/SOX8/DHH/TGFB1/GLI3/XYLT1,74
